X,year,month,day,hour,season,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,RAIN,IRAIN,winddir,wd,cbwd,WSPM,Iws
113701,2023,2,18,12,4,196.660344827586,234.983899204244,3.27475166466543,1.63737583233271,77.5024560637485,13.0990066586617,2.8,-2.5,68.0,1015.0,0.0,0.0,NA,NE,NE,1.9,8.2
113702,2023,2,18,13,4,201.402205659232,239.860918297679,3.27475166466543,1.63737583233271,80.7772077284139,19.6485099879926,3.5,-1.3,71.0,1014.0,0.0,0.0,NA,NE,NE,1.8,10.0
113703,2023,2,18,14,4,204.991546269064,241.344726888208,3.27475166466543,1.7465342211549,89.5098788341884,15.2821744351053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113704,2023,2,18,15,4,213.028046608564,245.335617658204,2.18316777644362,1.52821744351053,79.6856238401921,14.1905905468835,3.1,-0.4,78.0,1015.0,0.0,0.0,NA,NE,NE,1.8,1.8
113705,2023,2,18,16,4,163.328514915203,190.71901120533,4.36633555288724,1.20074227704399,55.6707782993123,38.2054360877633,4.7,-1.8,63.0,1016.0,0.1,0.1,NA,NW,NW,4.2,4.2
113706,2023,2,18,17,4,14.2182044228124,25.3896507550221,2.18316777644362,0.327475166466543,14.1905905468835,73.1361205108613,5.7,-6.9,40.0,1018.0,0.0,0.0,NA,NW,NW,5.6,9.8
113707,2023,2,18,18,4,5.04878393665158,14.1365950226244,3.27475166466543,0.327475166466543,8.73267110577448,81.8687916166357,4.5,-11.6,30.0,1020.0,0.0,0.0,NA,NW,NW,3.4,13.2
113708,2023,2,18,19,4,4.01223844648502,12.0367153394551,3.27475166466543,0.218316777644362,8.73267110577448,82.9603755048576,3.2,-15.0,25.0,1022.0,0.0,0.0,NA,NW,NW,2.3,15.5
113709,2023,2,18,20,4,3.99776696766238,10.9938591610716,3.27475166466543,0.218316777644362,9.82425499399629,82.9603755048576,2.5,-16.6,23.0,1023.0,0.0,0.0,NA,NW,NW,2.4,17.9
113710,2023,2,18,21,4,3.98945033461162,9.97362583652906,3.27475166466543,0.218316777644362,10.9158388822181,80.7772077284139,1.9,-17.1,23.0,1023.0,0.0,0.0,NA,NW,NW,3.2,21.1
113711,2023,2,18,22,4,3.98410456730769,10.9562875600962,NA,0.218316777644362,8.73267110577448,81.8687916166357,1.8,-15.7,26.0,1024.0,0.0,0.0,NA,NW,NW,4.5,25.6
113712,2023,2,18,23,4,3.9852721275013,12.9521344143792,NA,0.218316777644362,7.64108721755267,81.8687916166357,1.7,-15.3,27.0,1024.0,0.0,0.0,NA,NW,NW,3.9,29.5
113713,2023,2,19,0,4,3.98555438701923,17.9349947415865,3.27475166466543,0.218316777644362,9.82425499399629,80.7772077284139,1.9,-15.2,27.0,1024.0,0.0,0.0,NA,NW,NW,4.9,34.4
113714,2023,2,19,1,4,4.98862696443342,22.9476840363937,3.27475166466543,0.218316777644362,8.73267110577448,80.7772077284139,2.0,-14.6,28.0,1023.0,0.0,0.0,NA,NW,NW,5.1,39.5
113715,2023,2,19,2,4,7.00117102621745,39.0065242889258,3.27475166466543,0.218316777644362,8.73267110577448,76.4108721755267,2.7,-14.5,27.0,1023.0,0.0,0.0,NA,NW,NW,5.1,44.6
113716,2023,2,19,3,4,7.00439506729829,39.0244868035191,3.27475166466543,0.218316777644362,9.82425499399629,62.2202816286432,2.8,-14.4,27.0,1023.0,0.0,0.0,NA,NW,NW,4.3,48.9
113717,2023,2,19,4,4,7.00870653319283,39.0485078277886,3.27475166466543,0.218316777644362,12.0074227704399,44.7549394170942,2.7,-14.5,27.0,1022.0,0.0,0.0,NA,NW,NW,2.5,51.4
113718,2023,2,19,5,4,7.00225193022591,40.0128681727195,3.27475166466543,0.327475166466543,24.0148455408798,33.8391005348761,2.5,-14.7,27.0,1022.0,0.0,0.0,NA,NW,NW,2.1,53.5
113719,2023,2,19,6,4,5.98349390335692,39.8899593557128,3.27475166466543,0.327475166466543,29.4727649819889,24.0148455408798,1.6,-14.1,30.0,1022.0,0.0,0.0,NA,SE,SE,0.8,0.8
113720,2023,2,19,7,4,5.9965678157459,34.9799789251844,3.27475166466543,0.327475166466543,43.6633555288724,17.465342211549,2.2,-14.5,28.0,1022.0,0.0,0.0,NA,NW,NW,2.2,2.2
113721,2023,2,19,8,4,6.98495204062441,32.9290596200865,3.27475166466543,0.327475166466543,43.6633555288724,15.2821744351053,1.4,-13.2,33.0,1023.0,0.0,0.0,NA,SW,SW,1.0,1.0
113722,2023,2,19,9,4,9.07095646289195,38.2995939544327,3.27475166466543,0.436633555288724,48.0296910817596,20.7400938762144,4.8,-15.2,22.0,1023.0,0.0,0.0,NA,NW,NW,1.5,1.5
113723,2023,2,19,10,4,7.08497102212856,36.4369938280897,NA,0.327475166466543,31.6559327584325,51.3044427464251,5.7,-14.4,22.0,1022.0,0.0,0.0,NA,SW,SW,2.8,2.8
